,phonenames,offers,prices
0,Redmi K20 Pro (6GB|128GB),"Flat ₹4,000 Off","Now ₹24,999"
1,Redmi Note 7S,"Flat ₹4,000 Off","Now ₹9,999"
2,Samsung Galaxy S9,"Flat ₹32,501 Off","Now ₹29,999"
3,Redmi Note 7 Pro,"Extra ₹1,000 Off  Exc","From ₹11,999"
4,realme 5 Pro,"From ₹12,999*","*Incl ₹1,000 off on Prepaid"
5,Redmi 7A,"From ₹4,999",Best Phone Under ₹5k
6,Motorola One Action (4GB|128GB),Flat ₹5000 Off,"Now ₹11,999"
7,vivo Z1 Pro,"Upto ₹5,000 Off","From ₹12,990"
8,ROG 2,"Flat ₹3,000 Off","From 37,999"
9,Samsung Galaxy Note 10,"Extra ₹6,000 Off Exc","Now ₹69,999"
10,Samsung Galaxy S10,"Extra ₹6,000 Off  Exc","From 61,900"
11,Google Pixel 3A (4GB|64GB),"Flat ₹15,001 Off","Now ₹29,999"
12,Samsung Galaxy S9 Plus ,"Flat ₹35,001 Off","Now ₹34,999"
13,Nubia Red Magic 3,"Flat ₹6,000 Off","Now ₹32,999"
14,Samsung Galaxy Note 10 Plus,"Extra ₹6,000 Off  Exc","Now ₹79,999"
15,Google Pixel 3A XL (4GB|64GB),"Flat ₹15,001 Off","Now ₹34,999"
